Title,STATUS,Coupa Req,PO ID,Cost Total,Coupa Status,Submitted by,GCU Contact,Date Submitted,Business Need,Approval,Licensing Requirements,Licensing Requirements Explain,URL Product,Notes,Product Logo,Primary Approver,Point of Contact,Name of Primary Contact,SME,M365 Replace,Description,Primary IT Contact,Support Department Manager,Who uses this application?,App Status,Purpose,Origin,AppOwnerOrganization,App USE Org,App Owner Department,Name of Software Company,Departments Use the App,Cost Requirements,Cost Requirements Explain,Security Approval,Date of Security Review,URL to Governance System,Business Engagement QA,Business Engagement Notes,Business Engagement Approval,Who Uses,Dept Use-Which Dept,Software Version Initial,Software Version - Today,Support Department,Primary Business Administrator,Date of Launch,Date of Renewal,Department Renewal,Support Details,3rd Party Patching Requirements,3rd Party Vendor Website,Renewal Date,Item Type,Path
EdConnect,Sam Done,,,,,,,8/6/19,"Used to send and receive Federal Student Aid data
",Restricted Approval,Yes,,,"331102 - Financial Aid License - Nedd MGR Approval - EdConnect 8
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
E-Learning Brothers,Sam Done,179028,#179209,3570,Ordered,Kevin Witts (GCE),,6/12/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""E-Learning Brothers.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/29",,,,,,Kevin Witts,,,,Existing,E-Learning Services,Open Use,GCU,GCU,,E-Learning Brothers,,Unknown,,Yes,,,,,,,,,,,,6/12/20,6/12/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Eloqua,Sam Done,191871,#183307,7321.01,Ordered,,Eloqua,9/24/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Eloqua.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-4",,,,,,Emily Salamone,,,,Existing,Email Marketing,IT Use,GCE,GCE,,Validity Inc,,Unknown,,Yes,,,,,,,,,,,,9/24/20,9/24/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Email Protection (TAP),Sam Done,186174,#178656,85484,Ordered,Mike Manrod (GCE),,5/26/20,,Approved,Unknown,,,,,,,,,,Mike Manrod,,,,Existing,IT Security,Open Use,GCE,GCE,,Enterprise Network Solutions Inc.,,Unknown,,Yes,,,,,,,,,,,,5/26/20,5/26/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Email Templates,Sam Done,186523,#179324,400,Ordered,Gina Smith (Orbis),,6/16/20,,Approved,Unknown,,,,,,,,,,Gina Smith,,,,Existing,E-Learning Services,Open Use,Orbis,Orbis,,Stripo Inc,,Unknown,,Yes,,,,,,,,,,,,6/16/20,6/16/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
EMC,Sam Done,,,,,,,8/6/19,Food service program,Approved,No,,,406034 - Food Service,"{""type"":""thumbnail"",""fileName"":""EMC.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417b",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
EMC Software,Sam Done,,,,,,,1/23/20,Software used by Food Services to integrate with Register systems.,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""EMC.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-417b",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
EMG Analyzer,Sam Done,,,,,,,8/6/19,Used for Analysis,Approved,Yes,,,728207 - CSET Unkown install location,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
EMS Software,Sam Done,181072,#173943,3569,Ordered,,,1/30/20,,Approved,Unknown,,,,,,,,,,Tira Montgomery,,,,Existing,Facilities Management,Open Use,GCE,GCE;#GCU,,Climatec LLC,,Unknown,,Yes,,,,,,,,,,,,1/30/20,1/30/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Endnote (plug-in works with Write-n-Cite),Sam Done,,,,,,,8/6/19,"Endnote set up for lit reviews and citations, and a plug-in is required for the Cite while you Write function
",Restricted Approval,Yes,Trial Version,http://endnote.com/product-details,"614349 - Librarians & Professors Only
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Enterprise Cloud Subscription,Sam Done,195149,#185883,2800,Ordered,Vanessa Sanchez (GCE),,12/1/20,,Approved,Unknown,,,,,,,,,,Vanessa Sanchez,,,,Existing,Enterprise Cloud Subscription,IT Use,GCE,GCE,,Enterprise Cloud,,Unknown,,Yes,,,,,,,,,,,,12/1/20,12/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Enterprise Protectoin,Sam Done,,,,,,,2/14/20,,Approved,Unknown,,,,,,,,,,Deana Silva,,,,Existing,Compliance/Protection Services,Open Use,GCE,GCE,,Eplus Technology Inc,,Unknown,,Yes,,,,,,,,,,,,2/14/20,2/14/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Epi Info,Sam Done,,,,,,,8/6/19,"Develop new course ""Principles of Epidemiology""",Approved,Unknown,,https://www.cdc.gov/epiinfo/support/downloads.html,651393 - Public Health Program,"{""type"":""thumbnail"",""fileName"":""Epi Info.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
eRoom,Sam Done,,,,,,,8/6/19,"product features include e-mail management, calendaring, instant messaging, project plans, databases, and document management",Approved,Unknown,,,190272 - Accounting Send to IT Security before installing plugin - Accounting Plugin,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
eSpatial,Sam Done,,,,,Leticia Ware (GCE),,2/13/20,,Approved,Unknown,,,130582,,,,,,,Leticia Ware,,,,Existing,Mapping Software,Open Use,GCE,GCE,,eSpatial Inc,,Unknown,,Yes,,,,,,,,,,,,2/13/20,2/13/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ESRI Licensing,Sam Done,190722,#183557,3000,Ordered,,,9/22/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""ESRI Licensing.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Emily Salamone,,,,Existing,Site Planning,Open Use,Orbis,Orbis,,ESRI,,Unknown,,Yes,,,,,,,,,,,,9/22/20,9/22/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Essentials Team Olympic,Sam Done,196121,#187511,489,Ordered,,,1/5/21,,Approved,Unknown,,,,,,,,,,Taylor Potter,,,,Existing,Recruitment Scouting Services,Open Use,GCU,GCU,,Front Rush LLC,,Unknown,,Yes,,,,,,,,,,,,1/5/21,1/5/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
E-Sword,Sam Done,,,,,,,8/6/19,E-Sword is a fast and effective way to study the Bible,Approved,No,,http://www.e-sword.net/index.html,650046 -  Bible Application,"{""type"":""thumbnail"",""fileName"":""E-Sword.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Evaluation Kit,Sam Done,185538,#177949,4725,Ordered,Mark Gbur (Orbis),,4/28/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Evaluation Kit.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Mark Gbur,,,,Existing,Educational Services,Open Use,GCU,GCU,,Watermark Insights LLC,,Unknown,,Yes,,,,,,,,,,,,4/28/20,4/28/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Evaluation Kit,Sam Done,,,,,Mark Gbur (Orbis),,1/4/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Evaluation Kit.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Mark Gbur,,,,Existing,Evaluations Subscription,Open Use,GCU,GCU,,Watermark Insights LLC,,Unknown,,Yes,,,,,,,,,,,,1/4/21,1/4/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Event Booking,Sam Done,,,,,,,4/29/20,,Approved,Unknown,,,,,,,,,,Tira Montgomery,,,,Existing,Event Services,Open Use,GCU,GCU,,"Cvent, Inc",,Unknown,,Yes,,,,,,,,,,,,4/29/20,4/29/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Event Booking,Sam Done,185913,#178322,1250,Ordered,,,5/11/20,,Approved,Unknown,,,,,,,,,,Cienna Hernandez,,,,Existing,Event Services,Open Use,GCU,GCU,,EventBooking.com,,Unknown,,Yes,,,,,,,,,,,,5/11/20,5/11/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Evernote,Sam Done,,,,,,,11/29/22,"Website/Program used for taking and managing notes
",Denied,No,,,,,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Evidence Sync,Sam Done,,,,,,,12/16/15,Used by Public Safety for upgrading the firmware on their tasers.,Approved,No,,,Approved in ticket - 429957,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,12/16/15,12/16/15,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Exam View,Sam Done,,,,,,,1/24/20,Login with Evolve Account & install from web,Approved,No,,https://evolve.elsevier.com/Resources/120489_global_0002%23/content/809762472,"498000, 405632 -  Approval needed (logs in 405632)","{""type"":""thumbnail"",""fileName"":""Exam View.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c93",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Exchange admin,Sam Done,,,,,,,6/15/22,,,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Exchange Admin.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,6/15/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Exchange admin,Sam Done,,,,,,,1/25/20,"The administrator of the system that manages email management in Outlook and OWA, referred to as the Exchange Server",Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Exchange Admin.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Expert TA Online,Sam Done,196016,#186877,13000,Ordered,Nicole Wallace (GCE),,12/22/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Expert TA Online.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e",,,,,,Nicole Schuler,,,,Existing,Publishing,Open Use,GCU,GCU,,Expert TA LLC,,Unknown,,Yes,,,,,,,,,,,,12/22/20,12/22/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Extended DISX,Sam Done,,,,,,,11/20/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Extended DISX.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Kevin Witts,,,,Existing,Profile Assessments for Teams,Open Use,GCU,GCU,,Extended DISC North America Inc,,Unknown,,Yes,,,,,,,,,,,,11/20/20,11/20/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Extensis,Sam Done,185198,#177686,1842,Ordered,,,4/16/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Extensis.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,Cienna Hernandez,,,,Existing,Infrastructure,Open Use,GCE,GCE,,Celartem Inc,,Unknown,,Yes,,,,,,,,,,,,4/16/20,4/16/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
EZProxy,Sam Done,188190,#180793,5776.32,Ordered,,,7/22/20,,Approved,Unknown,,,,,,,,,,Wendy Alford,,,,Existing,Library,Open Use,GCU,GCU,,"Online Computer Library Center, Inc",,Unknown,,Yes,,,,,,,,,,,,7/22/20,7/22/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
F.lux,Sam Done,,,,,,,8/6/19,"Blue light adjustment software. 
",Denied,No,,https://justgetflux.com/,"Request 800909: Bluelight settings can be adjusted through the Win10 settings. 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Facilities Management,Sam Done,,,,,,,4/27/20,,Approved,Unknown,,,,,,,,,,Elizabeth Guerrero,,,,Existing,Facilities Management,Open Use,GCE,GCE;#GCU,,RSP Architects LTD,,Unknown,,Yes,,,,,,,,,,,,4/27/20,4/27/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FastRecruit Plus,Sam Done,187137,#179641,11000,Ordered,,,6/19/20,,Approved,Unknown,,,,,,,,,,Don Drysdale,,,,Existing,Sports Management,Open Use,GCU,GCU,,Fast Model Technologies LLC,,Unknown,,Yes,,,,,,,,,,,,6/19/20,6/19/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FastScout Plus,Sam Done,192428,#183666,7000,Ordered,,Don Drysdale,10/2/20,,Approved,Unknown,,,,,,,,,,Don Drysdale,,,,Existing,Sports Management,Open Use,GCU,GCU,,Fast Model Technologies LLC,,Unknown,,Yes,,,,,,,,,,,,10/2/20,10/2/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FedEx Ship manager,Sam Done,,,,,,,8/6/19,"Tracks, prints and regulates shipping for the Mail Center",Approved,No,,https://www.fedex.com/us/ship-manager/software/versions/b4j3s8k5/,758123 - Mail Center,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Fedex Toolbox,Sam Done,,,,,,,6/4/19,FedEx Software,Approved,Unknown,,,Request 956105,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,6/4/19,6/4/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Fiddler,Sam Done,,,,,,,10/17/16,Used in troubleshooting EBSCO database errors,Approved,Unknown,,,Request 547744,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,10/17/16,10/17/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FileBound,Sam Done,191663,#185841,700,Ordered,Bill Christie (GCE),,11/30/20,,Approved,Unknown,,,,,,,,,,Bill Christie,,,,Existing,File Sharing / Storage,IT Use,GCE,GCE,,Western Office Systems,,Unknown,,Yes,,,,,,,,,,,,11/30/20,11/30/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FileBound,Sam Done,183769,#177003,38469.04,Ordered,Bill Christie (GCE),,3/19/20,,Approved,Unknown,,,,,,,,,,Bill Christie,,,,Existing,Infrastructure,Open Use,GCE,GCE,,Western Office Systems,,Unknown,,Yes,,,,,,,,,,,,3/19/20,3/19/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FileBound,Sam Done,,,,,,,1/26/20,FileBound is a way for employees to upload student documents,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FileZilla,Sam Done,,,,,,,1/27/20,"FileZilla is a cross-platform graphical FTP, SFTP, and FTPS file management tool for Windows, Linux, Mac OS X. Must have MGR approval.",Approved,No,,https://filezilla-project.org/,"485127 -  Need MGR/IT Approval. As of March 2021, this has been disapproved by IT Sec and will be phased out. Replacement is https://cyberduck.io/.","{""type"":""thumbnail"",""fileName"":""FilleZilla.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FIM – GCU – Forefront Identity Manager,Sam Done,,,,,,,2/16/20,FIM manages users and security groups in GCU. HR configures Workday. Workday populates to FIM. FIM populates AD,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""FIM – GCU – Forefront Identity Manager.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Final Cut Pro,Sam Done,192480,#183870,299.99,Ordered,,Tira Montgomery,10/5/20,,Approved,No,,,,"{""type"":""thumbnail"",""fileName"":""Final Cut Pro.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Tira Montgomery,,,,Existing,Video Solutions,Open Use,GCU,GCU,,"Apple, Inc.",,Unknown,,Yes,,,,,,,,,,,,10/5/20,10/5/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Finale Notepad,Sam Done,,,,,,,8/6/19,Notating musical instruments for music production.,Approved,Unknown,,https://www.finalemusic.com/products/notepad/,783791 - Music,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Firefox,Sam Done,,,,,,,12/29/21,,Denied,Unknown,,,"No longer an approved browser. 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FirstCom Music,Sam Done,183334,#176553,6829,Ordered,,Cienna Hernandez,3/6/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""FirstCom Music.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Cienna Hernandez,,,,Existing,Educational Services,Open Use,GCU,GCU,,Music Z Tunes LLC,,Unknown,,Yes,,,,,,,,,,,,3/6/20,3/6/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FITBIT,Sam Done,,,,,,,5/3/16,Used for fitness challenges,Approved,Unknown,,,,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,5/3/16,5/3/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FlashLink Program Manager,Sam Done,,,,,,,2/28/22,"Manage temp for pfizer vaccine compliance
",Approved,Unknown,,https://www.deltatrak.com/reusable-pdf-data-loggers/40510-flashlink-usb-pdf-reusable-data-logger%23modal-4,"Request %23149101
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FLEX GTS,Sam Done,188641,#180703,1710,Ordered,,Ha Cao,7/27/20,,Approved,Unknown,,,,,,,,,,Ha Cao,,,,Existing,Inventory Management,Open Use,GCU,GCU,,Flex Rental Solutions LLC,,Unknown,,Yes,,,,,,,,,,,,7/27/20,7/27/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Flipgrid,Sam Done,,,,,,,4/28/22,"This software is used for Participation and Quizzes. 
",Restricted Approval,Unknown,,,"182432
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FM,Sam Done,,,,,,,1/28/20,Is a website that contains floor plans for GCU commonly used by facilities to keep track of which desk an employee occupies,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FM Systems,Sam Done,193090,#184191,4901.32,Ordered,Kimberly Swinton (GCE),,10/15/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""FM Systems.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,Kimberly Swinton,,,,Existing,Facilities Management,IT Use,GCE,GCE,,FM:Systems Group LLC,,Unknown,,Yes,,,,,,,,,,,,10/15/20,10/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FM Systems,Sam Done,188706,#182436,61249.53,Ordered,,Tira Montgomery,7/29/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""FM Systems.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,Tira Montgomery,,,,Existing,Facilities Management,Open Use,GCU,GCU,,FM: Systems Group LLC,,Unknown,,Yes,,,,,,,,,,,,7/29/20,7/29/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Font Explorer (Trial),Sam Done,,,,,,,8/6/19,"""Font Database, Stores & Retrieves Fonts for Adobe Products.
""
",Restricted Approval,No,,https://www.finalemusic.com/products/notepad/,"390078 - Marketing & Design Need MGR Approval - Software to be installed as trial, and then updated by software admin.
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Font Explorer Pro,Sam Done,,,,,,,8/6/19,"Font Database, Stores & Retrieves Fonts for Adobe Products & Designs 
",Restricted Approval,Yes,Cost Associated,https://www.fontexplorerx.com/," - Marketing & Design Need MGR Approval - Cost Associated
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
FontLab7,Sam Done,,,,,,,3/19/21,"For student designers to learn how to create typefaces using typeface software.
",Approved,No,,,"Request %231295329
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Fontself,Sam Done,,,,,,,3/19/21,"For student designers to learn how to create typefaces using typeface software.
",Approved,No,,,"Request %231296544
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Forticlient,Imported,,,,,,,10/29/20,"Orbis Employee connection to Concordia VPN
",Restricted Approval,Unknown,,," Orbis Only
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/29/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
